periodo,inicio_restriccion,fin_restriccion,cps_1ene_a_inicio,cps_10_dias_previos,cps_10_dias_previos_fin_de_semana,cps_dentro_restriccion,pct_previos_con_prorroga
presidencial_2022,2022-01-29,2022-06-19,1864,1660,201,938,0.214592
presidencial_2026,2026-01-31,2026-06-21,3039,1135,189,2,42.283646
