subtipo_cps,personas,meses_entre_firmas_mediana,mediana_cambio_nominal_pct,mediana_cambio_real_pct,pct_bajo_real,pct_igual_real,pct_subio_real,cuaderno04_2022_vs_2026_personas_pareadas,cuaderno04_2022_vs_2026_mediana_cambio_pct,cuaderno04_2022_vs_2026_pct_personas_con_aumento
Apoyo a la gestión,666,18.266940,21.434676,8.675707,33.933934,1.651652,64.414414,217,1.186788,52.534562
Profesional,775,11.991786,11.888112,0.745854,47.741935,1.677419,50.580645,265,-12.578771,20.754717
