anio,contratos,cps,valor_real_total,valor_real_cps,pct_contratos_cps,pct_valor_cps
2021,3031,2842,141562578530.968323,36072485018.494339,93.764434,25.481653
2022,5854,5544,428225034532.801880,80135977037.938080,94.704476,18.713520
2023,4784,4385,509695034034.100342,67877996071.489342,91.659699,13.317374
2024,4853,4567,344492407789.270813,54518949617.903534,94.106738,15.825878
2025,4989,4648,396773288997.317932,62577525556.530151,93.164963,15.771607
2026,4398,4182,188302108721.870880,59262040109.938080,95.088677,31.471788
