anio,contratos,valor_real,en_restriccion_art38
2021,7,4545748134.161798,0
2022,4,3350521205.485919,0
2023,13,15777025399.115950,0
2024,13,34856887820.564606,0
2025,28,121889675278.178055,1
2026,10,20051579530.782848,5
