anio,"Arrendamientos, seguros y otros",Bienes y suministros,Entidades sin ánimo de lucro (Dec. 092),Interadministrativos,Interventoría y consultoría,Obra pública,Servicios de empresas
2021,32754527395.819359,7139628543.118640,17635982926.261440,4545748134.161798,142935662.755328,22757083610.499813,20514187239.857613
2022,54436779024.238815,12840375275.797483,44597652629.221375,3350521205.485919,16134087743.174274,71469037539.917953,145260604077.027985
2023,41841938341.014717,17357743680.842121,46640060260.868462,15777025399.115950,26853699019.632118,198410318298.198395,94936252962.939240
2024,47289696785.291351,11132002962.526548,42105207732.002182,34856887820.564606,5270962451.948721,3150363499.017657,146168336920.016235
2025,25892807153.555737,20182751146.577507,32796315893.658203,121889675278.178055,3566299423.026899,18224067739.494709,111643846806.296646
2026,11012077299.723221,9082777539.823324,42469013617.705475,20051579530.782848,2460010368.692145,1071416032.263895,42893194222.941895
