anio,contratos,valor_real,pct_valor_directa,pct_valor_interadministrativos,proveedores,pct_valor_top5,pct_valor_top10,pct_valor_top20,pct_valor_consorcios
2021,189.000000,105490093512.473984,9.696125,4.309171,448,28.287933,38.796847,51.945723,34.413072
2022,310.000000,348089057494.863770,6.295820,0.962547,448,28.287933,38.796847,51.945723,34.413072
2023,399.000000,441817037962.610962,10.603954,3.570941,448,28.287933,38.796847,51.945723,34.413072
2024,286.000000,289973458171.367310,21.764355,12.020717,448,28.287933,38.796847,51.945723,34.413072
2025,341.000000,334195763440.787720,41.065487,36.472538,448,28.287933,38.796847,51.945723,34.413072
2026,216.000000,129040068611.932800,23.207526,15.539034,448,28.287933,38.796847,51.945723,34.413072
