alcalde,contratos,vm_real_mediano,vm_real_p25,vm_real_p75,valor_contrato_real_mediano
Alfonso Eljach,7224,3427694.409103062,2467424.3581998977,4546214.278007121,11826106.192647424
Jonathan Vasquez,7493,2940872.859259408,2494953.734904765,3976669.860889834,10816271.653383996
