alcalde,count,mean,std,min,25%,50%,75%,90%,max
Alfonso Eljach,7546.0,3.57,1.28,0.03,2.96,3.45,4.24,5.01,10.41
Jonathan Vasquez,7764.0,3.54,1.33,0.13,2.92,3.45,4.01,5.35,10.55
