alcalde,personas,contratos,contratos_por_persona,pct_2_o_mas,cps_por_mes,personas_por_mes
Alfonso Eljach,3677,7649,2.080228447103617,58.68914876257819,424.9,204.3
Jonathan Vasquez,4348,7961,1.8309567617295308,50.919963201471944,442.3,241.6
