ventana,alcalde,cps,personas,vm_nominal,vm_real,duracion_mediana
24m calendario (secundaria),Alfonso Eljach,8987,4284,2705777.7777777775,3282930.932128506,3.9093298291721417
24m calendario (secundaria),Jonathan Vasquez,8581,4046,3493114.7540983604,3492935.2288666707,2.9566360052562417
Año 3 mismo corte (alineada),Alfonso Eljach,3288,2638,2698090.909090909,3481226.6985960766,3.9750328515111693
Año 3 mismo corte (alineada),Jonathan Vasquez,4080,3073,3069579.8319327733,2982502.3956673755,3.9093298291721417
Meses gobierno 16-33 (alineada),Alfonso Eljach,6907,3427,2638133.3333333335,3481226.6985960766,3.4494086727989486
Meses gobierno 16-33 (alineada),Jonathan Vasquez,7629,4212,3044000.0,2982502.3956673755,2.9894875164257555
