alcalde,personas,contratos_mediana,contratos_max,pct_2_o_mas,pct_3_o_mas,pct_5_o_mas
Alfonso Eljach,3677,2.0,8,58.68914876257819,36.11639923850966,2.121294533587163
Jonathan Vasquez,4348,2.0,7,50.919963201471944,26.5869365225391,0.34498620055197793
