alcalde,personas_unicas,contratos,contratos_por_persona,valor_real_total,cps_por_mes,personas_por_mes,valor_real_por_mes
Alfonso Eljach,3677,7649,2.080228447103617,103567499943.47664,424.9,204.3,5753749997.0
Jonathan Vasquez,4348,7961,1.8309567617295308,96049620991.27684,442.3,241.6,5336090055.0
