periodo,fecha_inicio,fecha_fin,norma,fuente_url
presidencial_2022,2022-01-29,2022-06-19,Ley 996 de 2005 art. 33,https://www.infobae.com/america/colombia/2022/01/26/ley-de-garantias-entra-en-funcionamiento-este-sabado-29-de-enero-le-explicamos-en-que-consiste/
presidencial_2026,2026-01-31,2026-06-21,Ley 996 de 2005 art. 33,https://www.elespectador.com/politica/elecciones-colombia-2026/ley-de-garantias-2026-cuando-inicia-cuanto-termina-y-que-prohibe-noticias-hoy/
