alcalde,contratos_cps,personas,duracion_mediana_meses,contratos_por_persona
Alfonso Eljach,3593,2858,3.9750328515111693,1.2571728481455564
Jonathan Vasquez,4243,3192,3.9093298291721417,1.3292606516290726
