alcalde,tipo_cps,contratos_cps,personas,duracion_mediana_meses,duracion_p25_meses,duracion_p75_meses,valor_mensual_mediano_nominal
Alfonso Eljach,Apoyo a la gestion claro,4649,2489,3.9093298291721417,2.9566360052562417,4.894875164257556,2007032.9670329671
Alfonso Eljach,Profesional claro,4280,1876,3.9093298291721417,2.9566360052562417,5.486202365308804,3551333.3333333335
Jonathan Vasquez,Apoyo a la gestion claro,3989,2241,2.9566360052562417,1.9710906701708277,3.9093298291721417,2536666.6666666665
Jonathan Vasquez,Profesional claro,4545,1875,2.9894875164257555,1.9710906701708277,4.0078843626806835,4058666.666666667
