nombre_entidad,nit_entidad,anio,numero_registros,nit_normalizado,entidad_corta
INSPECCION DE TRANSITO Y TRANSPORTE DE BARRANCABERMEJA,890270948,2022,69,890270948,Inspección de Tránsito y Transporte
INSPECCION DE TRANSITO Y TRANSPORTE DE BARRANCABERMEJA,890270948,2023,81,890270948,Inspección de Tránsito y Transporte
INSPECCION DE TRANSITO Y TRANSPORTE DE BARRANCABERMEJA,890270948,2024,136,890270948,Inspección de Tránsito y Transporte
INSPECCION DE TRANSITO Y TRANSPORTE DE BARRANCABERMEJA,890270948,2025,265,890270948,Inspección de Tránsito y Transporte
INSPECCION DE TRANSITO Y TRANSPORTE DE BARRANCABERMEJA,890270948,2026,212,890270948,Inspección de Tránsito y Transporte
E.S.E HOSPITAL REGIONAL DEL MAGDALENA MEDIO//,900136865,2025,202,900136865,Hospital Regional del Magdalena Medio
E.S.E HOSPITAL REGIONAL DEL MAGDALENA MEDIO//,900136865,2026,409,900136865,Hospital Regional del Magdalena Medio
CONTRALORIA MUNICIPAL DE BARRANCABERMEJA.,8290007456,2021,66,8290007456,Contraloría de Barrancabermeja
CONTRALORIA MUNICIPAL DE BARRANCABERMEJA.,8290007456,2022,53,8290007456,Contraloría de Barrancabermeja
CONTRALORIA MUNICIPAL DE BARRANCABERMEJA.,8290007456,2023,64,8290007456,Contraloría de Barrancabermeja
CONTRALORIA MUNICIPAL DE BARRANCABERMEJA.,8290007456,2024,64,8290007456,Contraloría de Barrancabermeja
CONTRALORIA MUNICIPAL DE BARRANCABERMEJA.,8290007456,2025,79,8290007456,Contraloría de Barrancabermeja
CONTRALORIA MUNICIPAL DE BARRANCABERMEJA.,8290007456,2026,47,8290007456,Contraloría de Barrancabermeja
