alcalde,personas,contratos,contratos_mediana,contratos_p90,contratos_max,personas_2_o_mas,personas_3_o_mas,porcentaje_2_o_mas,porcentaje_3_o_mas
Alfonso Eljach,4591,9970,2.0,4.0,9,2624,1647,57.16,35.87
Jonathan Vasquez,4236,9270,2.0,4.0,9,2200,1425,51.94,33.64
