alcalde,contratos_cps,personas,duracion_mediana_meses,contratos_por_persona
Alfonso Eljach,12558,4971,3.9093298291721417,2.5262522631261315
Jonathan Vasquez,13470,5312,2.9894875164257555,2.5357680722891565
