alcalde,contratos_cps,personas,duracion_mediana_meses,contratos_por_persona
Alfonso Eljach,9970,4591,3.9093298291721417,2.1716401655412763
Jonathan Vasquez,9270,4236,2.9566360052562417,2.188385269121813
