alcalde,tipo_cps,contratos_cps,personas,duracion_mediana_meses,duracion_p25_meses,duracion_p75_meses,valor_mensual_mediano_nominal
Alfonso Eljach,Apoyo a la gestion claro,5879,2736,3.7450722733245727,2.890932982917214,4.0078843626806835,2012561.9834710746
Alfonso Eljach,Profesional claro,5559,2084,3.9093298291721417,2.890932982917214,4.9605781865965834,3551333.3333333335
Jonathan Vasquez,Apoyo a la gestion claro,6124,3106,2.923784494086728,2.2339027595269383,3.9750328515111693,2565168.5393258426
Jonathan Vasquez,Profesional claro,6327,2162,3.9093298291721417,2.5131406044678055,4.829172141918528,4058666.666666667
